|foundation_model|aggregator|classifier|fold|benign_auroc|bowens_auroc|bcc_auroc|scc_auroc|benign_auprc|bowens_auprc|bcc_auprc|scc_auprc
0|gigapath|abmil-1_heads|MLP|4|0.8460771276595744|0.8185185185185185|0.9555555555555556|0.9739010989010989|0.7671443666294864|0.7244038705662266|0.9179967036422385|0.6654761904761903
1|gigapath|gabmil-1_heads|MLP|0|0.8718140929535232|0.7927927927927928|0.9650028686173264|0.9852724594992637|0.7753506597963062|0.6825921535115465|0.9354601844889001|0.8239022881880024
2|gigapath|abmil-1_heads|MLP|3|0.8285184203551551|0.8569767441860465|0.9876093294460642|0.9848053181386515|0.7875322001839932|0.7407381147376505|0.9609171132762908|0.7575227241893909
3|gigapath|gabmil-1_heads|MLP|4|0.8410904255319149|0.8177777777777777|0.956084656084656|0.9684065934065934|0.772430150611394|0.7094963496330583|0.919350432033436|0.5602873317159031
4|gigapath|abmil-8_heads|MLP|1|0.8499622071050643|0.8164871582435791|0.9761904761904763|0.9896907216494846|0.7941838530308665|0.6758718150726466|0.9495680489101541|0.9129464285714286
5|gigapath|abmil-1_heads|MLP|2|0.885663082437276|0.7733446519524618|0.9609756097560976|0.962046204620462|0.8479229496785451|0.5643208176104503|0.9136134925524484|0.6940656565656566
6|gigapath|abmil-8_heads|MLP|3|0.8377948582030215|0.8238372093023256|0.971938775510204|0.9876543209876543|0.7984510920997735|0.7203730605522106|0.8952394682039881|0.7863235529902197
7|gigapath|abmil-8_heads|MLP|2|0.8885304659498208|0.7576400679117148|0.9639024390243902|0.9636963696369637|0.846395233832225|0.595974694672859|0.9080289461075078|0.6827380952380951
8|gigapath|gabmil-8_heads|MLP|0|0.8883058470764618|0.8274774774774776|0.9598393574297187|0.9764359351988218|0.8140998623076017|0.7556762299909707|0.9433295347806787|0.8126984126984127
9|gigapath|gabmil-8_heads|MLP|4|0.8361037234042553|0.7755555555555556|0.9550264550264551|0.9739010989010989|0.7568027617607807|0.7001893676912806|0.8828300290034987|0.5871057513914657
10|gigapath|abmil-1_heads|MLP|0|0.8751874062968517|0.7995495495495495|0.9695926563396442|0.9852724594992637|0.7944343224183789|0.6893443213400434|0.9455268296729967|0.8310451453308596
11|gigapath|gabmil-8_heads|MLP|2|0.8770609318996416|0.7580645161290323|0.9682926829268292|0.9686468646864687|0.8334079329222063|0.5794099536449536|0.9197709652078478|0.6915616246498599
12|gigapath|gabmil-1_heads|MLP|2|0.8863799283154121|0.767402376910017|0.9565853658536586|0.9735973597359736|0.8446975652102665|0.5574914809227445|0.8987395915176957|0.7152777777777777
13|gigapath|abmil-8_heads|MLP|0|0.8654422788605697|0.8054054054054055|0.961560527825588|0.9793814432989691|0.789343788059292|0.7348809361176607|0.9533307469827003|0.8112554112554113
14|gigapath|gabmil-1_heads|MLP|3|0.8232175987278029|0.852906976744186|0.9825072886297376|0.9914529914529915|0.786648600837137|0.7238224931616013|0.944944112363295|0.9013548180214848
15|gigapath|gabmil-8_heads|MLP|3|0.8547574874105486|0.8392441860465116|0.9777696793002916|0.9857549857549857|0.811486699091617|0.750309629557034|0.9214323661964077|0.7159531826198493
16|gigapath|gabmil-1_heads|MLP|1|0.8442932728647015|0.8371996685998343|0.9863945578231292|0.9896907216494846|0.8100214710149666|0.6867927530188903|0.9616369984791038|0.8993055555555555
17|gigapath|abmil-1_heads|MLP|1|0.8514739229024944|0.8458989229494613|0.9892290249433107|0.9896907216494846|0.82051526938316|0.6959090258947455|0.9714285714285715|0.8993055555555555
18|gigapath|gabmil-8_heads|MLP|1|0.8465608465608466|0.8214581607290803|0.9767573696145124|0.9922680412371134|0.8036131708134218|0.6897288016564521|0.9582170915504249|0.9248511904761905
19|gigapath|abmil-8_heads|MLP|4|0.8467420212765957|0.82|0.9571428571428571|0.978021978021978|0.7823199671215046|0.7388014624972717|0.9175130445585999|0.6758503401360545
20|uni|gabmil-1_heads|MLP|3|0.8613835144447389|0.868313953488372|0.9887026239067056|0.9924026590693257|0.8093180253203727|0.7825112186172846|0.9607941886960666|0.9094356261022929
21|uni|abmil-1_heads|MLP|3|0.8560826928173868|0.8709302325581395|0.9887026239067056|0.9905033238366572|0.8124861934365657|0.7775419090879018|0.9598363342899363|0.8686948853615521
