id,negative_count_prism,positive_count_prism,negative_count_uni,positive_count_uni,negative_diff,positive_diff
660042-3,0.9839228295819936,-1.0,0.4585209003215434,-1.0,0.5254019292604502,0.0
660403-6,0.5131832797427652,-1.0,0.9453376205787781,-1.0,0.4321543408360129,0.0
660472-3,0.4231511254019293,-1.0,0.8527331189710611,-1.0,0.4295819935691318,0.0
660393-3,0.5665594855305466,-1.0,0.9935691318327974,-1.0,0.4270096463022508,0.0
660473-3,0.43086816720257237,-1.0,0.7980707395498392,-1.0,0.36720257234726683,0.0
660126-6,0.4758842443729904,-1.0,0.842443729903537,-1.0,0.3665594855305466,0.0
660393-5,0.5884244372990354,-1.0,0.9446945337620579,-1.0,0.35627009646302255,0.0
660322-3,0.9504823151125402,-1.0,0.6257234726688103,-1.0,0.3247588424437299,0.0
660599-06,0.9498392282958199,-1.0,0.6302250803858521,-1.0,0.3196141479099678,0.0
660484-2,0.9472668810289389,-1.0,0.6469453376205788,-1.0,0.30032154340836004,0.0
660437-4,0.7067524115755627,-1.0,0.9948553054662379,-1.0,0.2881028938906752,0.0
660080-5,0.9543408360128617,-1.0,0.6681672025723473,-1.0,0.2861736334405144,0.0
660551-05,0.7196141479099678,-1.0,1.0,-1.0,0.2803858520900322,0.0
660225-2,0.9106109324758842,-1.0,0.6379421221864952,-1.0,0.27266881028938905,0.0
660393-6,0.7028938906752411,-1.0,0.9729903536977492,-1.0,0.2700964630225081,0.0
660523-3,0.9948553054662379,-1.0,0.7356913183279743,-1.0,0.2591639871382636,0.0
660521-3,0.6282958199356913,-1.0,0.8842443729903537,-1.0,0.25594855305466246,0.0
660100-3,0.7344051446945338,-1.0,0.9903536977491961,-1.0,0.25594855305466235,0.0
660080-6,0.9832797427652733,-1.0,0.7337620578778135,-1.0,0.24951768488745985,0.0
660393-4,0.7581993569131833,-1.0,0.992282958199357,-1.0,0.23408360128617367,0.0
660403-5,0.6881028938906752,-1.0,0.9093247588424437,-1.0,0.22122186495176843,0.0
660631-02,0.7807073954983923,-1.0,0.5627009646302251,-1.0,0.21800643086816718,0.0
660437-3,0.780064308681672,-1.0,0.9967845659163987,-1.0,0.21672025723472677,0.0
660112-3,0.7890675241157556,-1.0,0.9961414790996784,-1.0,0.20707395498392278,0.0
660551-06,0.7935691318327974,-1.0,1.0,-1.0,0.20643086816720257,0.0
660112-4,0.7652733118971061,-1.0,0.9684887459807074,-1.0,0.20321543408360132,0.0
660619-04,0.692604501607717,-1.0,0.8790996784565916,-1.0,0.18649517684887462,0.0
660521-1,0.715112540192926,-1.0,0.872668810289389,-1.0,0.157556270096463,0.0
660171-6,0.9942122186495177,-1.0,0.8385852090032154,-1.0,0.15562700964630227,0.0
660230-5,0.9292604501607717,-1.0,0.7813504823151125,-1.0,0.14790996784565924,0.0
660042-4,0.9916398713826367,-1.0,0.8437299035369775,-1.0,0.14790996784565913,0.0
660399-3,0.802572347266881,-1.0,0.9479099678456592,-1.0,0.1453376205787782,0.0
660523-4,0.9993569131832798,-1.0,0.8553054662379421,-1.0,0.14405144694533767,0.0
660404-5,0.8327974276527331,-1.0,0.9723472668810289,-1.0,0.13954983922829578,0.0
660417-6,0.8315112540192926,-1.0,0.9704180064308682,-1.0,0.13890675241157557,0.0
660425-5,0.985209003215434,-1.0,0.847588424437299,-1.0,0.13762057877813505,0.0
