id,rank_of_pos_prism,rank_of_neg_prism,rank_of_pos_gigapath,rank_of_neg_gigapath,rank_of_pos_diff,rank_of_neg_diff
660529-6,0.9986595174262735,-1.0,0.38806970509383376,-1.0,0.6105898123324397,0.0
660370-5,0.3967828418230563,-1.0,0.9912868632707775,-1.0,0.5945040214477213,0.0
660465-4,0.9463806970509383,-1.0,0.3967828418230563,-1.0,0.549597855227882,0.0
660174-4,0.43766756032171583,-1.0,0.9725201072386059,-1.0,0.5348525469168901,0.0
660409-1,0.47520107238605896,-1.0,0.9993297587131368,-1.0,0.5241286863270778,0.0
660527-1,0.47520107238605896,-1.0,0.9953083109919572,-1.0,0.5201072386058982,0.0
660341-6,0.48056300268096513,-1.0,0.9872654155495979,-1.0,0.5067024128686328,0.0
660394-5,0.46581769436997317,-1.0,0.9664879356568364,-1.0,0.5006702412868633,0.0
660465-3,0.3491957104557641,-1.0,0.8331099195710456,-1.0,0.48391420911528155,0.0
660531-3,0.44705093833780163,-1.0,0.92828418230563,-1.0,0.4812332439678284,0.0
660341-5,0.5194369973190348,-1.0,0.9953083109919572,-1.0,0.47587131367292235,0.0
660251-1,0.4450402144772118,-1.0,0.9155495978552279,-1.0,0.4705093833780161,0.0
660446-4,0.49932975871313673,-1.0,0.9664879356568364,-1.0,0.4671581769436997,0.0
660346-1,0.5308310991957105,-1.0,0.9966487935656837,-1.0,0.4658176943699732,0.0
660419-6,0.853887399463807,-1.0,0.39812332439678283,-1.0,0.45576407506702415,0.0
660152-2,0.9953083109919572,-1.0,0.5408847184986595,-1.0,0.45442359249329767,0.0
660122-1,0.9932975871313673,-1.0,0.539544235924933,-1.0,0.45375335120643434,0.0
660370-1,0.5308310991957105,-1.0,0.9845844504021448,-1.0,0.45375335120643434,0.0
660107-2,0.7694369973190348,-1.0,0.33176943699731903,-1.0,0.4376675603217158,0.0
660243-5,0.8646112600536193,-1.0,0.4738605898123324,-1.0,0.3907506702412869,0.0
660419-5,0.8900804289544236,-1.0,0.5087131367292225,-1.0,0.38136729222520116,0.0
660445-1,0.6126005361930295,-1.0,0.9872654155495979,-1.0,0.37466487935656845,0.0
660032-5,0.9001340482573726,-1.0,0.5254691689008043,-1.0,0.37466487935656834,0.0
660339-6,0.7540214477211796,-1.0,0.38605898123324395,-1.0,0.3679624664879357,0.0
660337-6,0.5871313672922251,-1.0,0.953083109919571,-1.0,0.36595174262734587,0.0
660418-4,0.7044235924932976,-1.0,0.33847184986595175,-1.0,0.3659517426273458,0.0
660514-1,0.9316353887399463,-1.0,0.5737265415549598,-1.0,0.3579088471849865,0.0
660529-5,0.9986595174262735,-1.0,0.6447721179624665,-1.0,0.353887399463807,0.0
660032-3,0.9886058981233244,-1.0,0.6380697050938338,-1.0,0.3505361930294907,0.0
660529-1,0.9785522788203753,-1.0,0.6340482573726541,-1.0,0.3445040214477212,0.0
660452-1,0.8176943699731903,-1.0,0.4738605898123324,-1.0,0.3438337801608579,0.0
660586-01,0.6132707774798928,-1.0,0.9550938337801609,-1.0,0.3418230563002681,0.0
660394-6,0.6514745308310992,-1.0,0.9912868632707775,-1.0,0.33981233243967834,0.0
660577-01,0.5576407506702413,-1.0,0.8941018766756033,-1.0,0.33646112600536193,0.0
660493-5,0.5053619302949062,-1.0,0.8418230563002681,-1.0,0.33646112600536193,0.0
660529-2,0.9691689008042895,-1.0,0.6407506702412868,-1.0,0.3284182305630027,0.0
660608-03,0.9276139410187667,-1.0,0.5998659517426274,-1.0,0.32774798927613935,0.0
660634-01,0.9926273458445041,-1.0,0.6722520107238605,-1.0,0.32037533512064353,0.0
660418-3,0.6333780160857909,-1.0,0.3136729222520107,-1.0,0.3197050938337802,0.0
660447-2,0.9939678284182306,-1.0,0.6876675603217158,-1.0,0.3063002680965148,0.0
660370-6,0.6434316353887399,-1.0,0.9450402144772118,-1.0,0.30160857908847183,0.0
660245-5,0.6802949061662198,-1.0,0.9798927613941019,-1.0,0.29959785522788207,0.0
660447-5,0.6012064343163539,-1.0,0.896112600536193,-1.0,0.2949061662198391,0.0
660402-6,0.6689008042895442,-1.0,0.9631367292225201,-1.0,0.2942359249329759,0.0
660549-05,0.5308310991957105,-1.0,0.8197050938337802,-1.0,0.28887399463806973,0.0
660103-1,0.39343163538873993,-1.0,0.6802949061662198,-1.0,0.28686327077747986,0.0
660189-5,0.5831099195710456,-1.0,0.8693029490616622,-1.0,0.28619302949061654,0.0
660415-3,0.9986595174262735,-1.0,0.7151474530831099,-1.0,0.28351206434316356,0.0
660423-4,0.7010723860589813,-1.0,0.42091152815013405,-1.0,0.2801608579088472,0.0
660529-3,0.9953083109919572,-1.0,0.7238605898123325,-1.0,0.2714477211796247,0.0
660402-5,0.6990616621983914,-1.0,0.9698391420911529,-1.0,0.27077747989276146,0.0
660152-1,0.9946380697050938,-1.0,0.7245308310991957,-1.0,0.27010723860589814,0.0
660243-3,0.6903485254691689,-1.0,0.9591152815013405,-1.0,0.2687667560321716,0.0
660493-4,0.542225201072386,-1.0,0.8103217158176944,-1.0,0.2680965147453084,0.0
660122-2,0.9939678284182306,-1.0,0.7265415549597856,-1.0,0.26742627345844505,0.0
660091-5,0.660857908847185,-1.0,0.9269436997319035,-1.0,0.2660857908847185,0.0
660577-02,0.5710455764075067,-1.0,0.8331099195710456,-1.0,0.2620643431635389,0.0
660243-6,0.8042895442359249,-1.0,0.5482573726541555,-1.0,0.2560321715817694,0.0
660212-2,0.725201072386059,-1.0,0.9805630026809652,-1.0,0.25536193029490617,0.0
660189-6,0.7305630026809652,-1.0,0.985254691689008,-1.0,0.25469168900804284,0.0
660428-2,0.8558981233243967,-1.0,0.6018766756032171,-1.0,0.2540214477211796,0.0
660107-1,0.8800268096514745,-1.0,0.6266756032171582,-1.0,0.2533512064343163,0.0
660591-02,0.9658176943699732,-1.0,0.7138069705093834,-1.0,0.25201072386058987,0.0
660078-5,0.7285522788203753,-1.0,0.9798927613941019,-1.0,0.25134048257372654,0.0
660172-2,0.7004021447721179,-1.0,0.9517426273458445,-1.0,0.25134048257372654,0.0
660423-3,0.6407506702412868,-1.0,0.3900804289544236,-1.0,0.25067024128686327,0.0
660247-2,0.8646112600536193,-1.0,0.6219839142091153,-1.0,0.24262734584450407,0.0
660032-6,0.960455764075067,-1.0,0.7218498659517426,-1.0,0.23860589812332444,0.0
660429-2,0.646112600536193,-1.0,0.4075067024128686,-1.0,0.2386058981233244,0.0
660257-1,0.7379356568364611,-1.0,0.9745308310991957,-1.0,0.23659517426273458,0.0
660243-1,0.7359249329758714,-1.0,0.9711796246648794,-1.0,0.23525469168900803,0.0
660544-4,0.774798927613941,-1.0,0.5415549597855228,-1.0,0.23324396782841816,0.0
660174-1,0.7117962466487936,-1.0,0.9450402144772118,-1.0,0.23324396782841816,0.0
660245-6,0.7634048257372654,-1.0,0.9953083109919572,-1.0,0.23190348525469173,0.0
660468-4,0.9859249329758714,-1.0,0.7546916890080428,-1.0,0.23123324396782852,0.0
660383-1,0.710455764075067,-1.0,0.9410187667560321,-1.0,0.23056300268096508,0.0
660141-2,0.9872654155495979,-1.0,0.7573726541554959,-1.0,0.22989276139410197,0.0
660030-5,0.596514745308311,-1.0,0.8257372654155496,-1.0,0.22922252010723865,0.0
660174-2,0.760053619302949,-1.0,0.9872654155495979,-1.0,0.2272117962466489,0.0
660178-3,0.9463806970509383,-1.0,0.7205093833780161,-1.0,0.22587131367292224,0.0
660635-01,0.8873994638069705,-1.0,0.6628686327077749,-1.0,0.2245308310991957,0.0
660401-5,0.7593833780160858,-1.0,0.9839142091152815,-1.0,0.2245308310991957,0.0
660032-2,0.7292225201072386,-1.0,0.953083109919571,-1.0,0.22386058981233237,0.0
660587-01,0.7640750670241286,-1.0,0.985254691689008,-1.0,0.2211796246648794,0.0
660247-1,0.9463806970509383,-1.0,0.7258713136729222,-1.0,0.22050938337801607,0.0
660183-2,0.9155495978552279,-1.0,0.6990616621983914,-1.0,0.21648793565683655,0.0
660032-1,0.6092493297587132,-1.0,0.8257372654155496,-1.0,0.21648793565683644,0.0
660601-04,0.492627345844504,-1.0,0.707774798927614,-1.0,0.21514745308310995,0.0
660191-5,0.9658176943699732,-1.0,0.7546916890080428,-1.0,0.21112600536193038,0.0
660354-2,0.8176943699731903,-1.0,0.6072386058981233,-1.0,0.21045576407506705,0.0
660339-3,0.5636729222520107,-1.0,0.7707774798927614,-1.0,0.20710455764075064,0.0
660257-2,0.9296246648793566,-1.0,0.725201072386059,-1.0,0.20442359249329756,0.0
660529-4,0.7064343163538874,-1.0,0.9101876675603218,-1.0,0.20375335120643434,0.0
660338-1,0.7386058981233244,-1.0,0.9423592493297587,-1.0,0.20375335120643423,0.0
660312-1,0.7540214477211796,-1.0,0.9564343163538874,-1.0,0.2024128686327078,0.0
660492-3,0.9946380697050938,-1.0,0.7955764075067024,-1.0,0.1990616621983914,0.0
660542-6,0.9919571045576407,-1.0,0.7975871313672922,-1.0,0.19436997319034854,0.0
660449-3,0.7540214477211796,-1.0,0.9450402144772118,-1.0,0.19101876675603213,0.0
660419-3,0.9886058981233244,-1.0,0.7995978552278821,-1.0,0.18900804289544237,0.0
660464-6,0.7573726541554959,-1.0,0.9450402144772118,-1.0,0.18766756032171583,0.0
660491-3,0.774798927613941,-1.0,0.5884718498659517,-1.0,0.1863270777479893,0.0
660491-1,0.9993297587131368,-1.0,0.814343163538874,-1.0,0.18498659517426275,0.0
660595-02,0.9979892761394102,-1.0,0.814343163538874,-1.0,0.1836461126005362,0.0
660531-4,0.7801608579088471,-1.0,0.9631367292225201,-1.0,0.182975871313673,0.0
660544-3,0.7459785522788204,-1.0,0.5630026809651475,-1.0,0.18297587131367288,0.0
660243-2,0.7868632707774799,-1.0,0.9671581769436998,-1.0,0.1802949061662199,0.0
660492-6,0.9859249329758714,-1.0,0.8076407506702413,-1.0,0.17828418230563003,0.0
660329-1,0.8987935656836461,-1.0,0.7205093833780161,-1.0,0.17828418230563003,0.0
660243-7,0.7567024128686327,-1.0,0.9336461126005362,-1.0,0.1769436997319035,0.0
660620-04,0.9859249329758714,-1.0,0.8130026809651475,-1.0,0.17292225201072386,0.0
660329-2,0.7741286863270778,-1.0,0.6018766756032171,-1.0,0.17225201072386065,0.0
660449-5,0.7064343163538874,-1.0,0.878686327077748,-1.0,0.17225201072386054,0.0
660634-05,0.9946380697050938,-1.0,0.8230563002680965,-1.0,0.17158176943699732,0.0
660429-1,0.5489276139410187,-1.0,0.7205093833780161,-1.0,0.17158176943699732,0.0
660415-4,0.9986595174262735,-1.0,0.8284182305630027,-1.0,0.17024128686327078,0.0
660044-3,0.5603217158176944,-1.0,0.7305630026809652,-1.0,0.17024128686327078,0.0
660530-3,0.8176943699731903,-1.0,0.9872654155495979,-1.0,0.16957104557640756,0.0
660401-2,0.9865951742627346,-1.0,0.8190348525469169,-1.0,0.1675603217158177,0.0
660465-6,0.8411528150134048,-1.0,0.6796246648793566,-1.0,0.1615281501340482,0.0
660402-2,0.9906166219839142,-1.0,0.8304289544235925,-1.0,0.16018766756032166,0.0
660447-6,0.6635388739946381,-1.0,0.8223860589812333,-1.0,0.15884718498659522,0.0
660419-4,0.9865951742627346,-1.0,0.8277479892761395,-1.0,0.1588471849865951,0.0
660383-2,0.6045576407506702,-1.0,0.7607238605898123,-1.0,0.15616621983914214,0.0
660141-1,0.9477211796246648,-1.0,0.7915549597855228,-1.0,0.15616621983914203,0.0
660629-01,0.9651474530831099,-1.0,0.8103217158176944,-1.0,0.1548257372654155,0.0
660339-4,0.5522788203753352,-1.0,0.39812332439678283,-1.0,0.15415549597855233,0.0
660549-06,0.675603217158177,-1.0,0.829088471849866,-1.0,0.15348525469168905,0.0
660386-1,0.7607238605898123,-1.0,0.9128686327077749,-1.0,0.1521447721179625,0.0
660415-6,0.9443699731903485,-1.0,0.7928954423592494,-1.0,0.15147453083109919,0.0
660542-5,0.9993297587131368,-1.0,0.8505361930294906,-1.0,0.1487935656836462,0.0
660533-5,0.9886058981233244,-1.0,0.8431635388739946,-1.0,0.1454423592493298,0.0
660184-2,0.7151474530831099,-1.0,0.8585790884718498,-1.0,0.14343163538873993,0.0
660339-5,0.6682305630026809,-1.0,0.524798927613941,-1.0,0.14343163538873993,0.0
660583-02,0.9859249329758714,-1.0,0.8431635388739946,-1.0,0.14276139410187672,0.0
660449-4,0.8445040214477212,-1.0,0.9872654155495979,-1.0,0.14276139410187672,0.0
660539-3,0.9028150134048257,-1.0,0.7607238605898123,-1.0,0.1420911528150134,0.0
660219-1,0.9490616621983914,-1.0,0.8076407506702413,-1.0,0.14142091152815006,0.0
660178-6,0.9879356568364611,-1.0,0.8478552278820375,-1.0,0.14008042895442363,0.0
660574-01,0.7453083109919572,-1.0,0.6079088471849866,-1.0,0.13739946380697055,0.0
660618-02,0.717828418230563,-1.0,0.5810991957104558,-1.0,0.13672922252010722,0.0
660246-4,0.8646112600536193,-1.0,0.9993297587131368,-1.0,0.13471849865951746,0.0
660401-1,0.9986595174262735,-1.0,0.8659517426273459,-1.0,0.1327077747989276,0.0
660492-4,0.9946380697050938,-1.0,0.8626005361930295,-1.0,0.13203753351206438,0.0
660635-02,0.9396782841823056,-1.0,0.8076407506702413,-1.0,0.13203753351206426,0.0
660634-03,0.9859249329758714,-1.0,0.8545576407506702,-1.0,0.13136729222520116,0.0
660341-4,0.8800268096514745,-1.0,0.7486595174262735,-1.0,0.13136729222520105,0.0
660520-1,0.9993297587131368,-1.0,0.868632707774799,-1.0,0.13069705093833783,0.0
660183-1,0.9986595174262735,-1.0,0.8693029490616622,-1.0,0.1293565683646113,0.0
660103-6,0.9986595174262735,-1.0,0.8693029490616622,-1.0,0.1293565683646113,0.0
660527-2,0.8445040214477212,-1.0,0.9738605898123325,-1.0,0.1293565683646113,0.0
660618-01,0.8900804289544236,-1.0,0.7613941018766756,-1.0,0.12868632707774807,0.0
660531-6,0.9906166219839142,-1.0,0.8619302949061662,-1.0,0.12868632707774796,0.0
660595-03,0.9939678284182306,-1.0,0.8672922252010724,-1.0,0.1266756032171582,0.0
660595-06,0.9490616621983914,-1.0,0.8223860589812333,-1.0,0.1266756032171581,0.0
660468-3,0.985254691689008,-1.0,0.8599195710455764,-1.0,0.12533512064343166,0.0
660386-2,0.8210455764075067,-1.0,0.9463806970509383,-1.0,0.12533512064343155,0.0
660239-1,0.9651474530831099,-1.0,0.8411528150134048,-1.0,0.12399463806970512,0.0
660384-2,0.9939678284182306,-1.0,0.8706434316353887,-1.0,0.1233243967828419,0.0
660452-2,0.9919571045576407,-1.0,0.8693029490616622,-1.0,0.12265415549597858,0.0
660535-4,0.9932975871313673,-1.0,0.8719839142091153,-1.0,0.12131367292225204,0.0
660191-2,0.8411528150134048,-1.0,0.7211796246648794,-1.0,0.11997319034852538,0.0
660533-6,0.9953083109919572,-1.0,0.8766756032171582,-1.0,0.11863270777479895,0.0
660178-5,0.9939678284182306,-1.0,0.8760053619302949,-1.0,0.11796246648793574,0.0
660310-2,0.9859249329758714,-1.0,0.8693029490616622,-1.0,0.11662198391420919,0.0
660595-01,1.0,-1.0,0.8840482573726541,-1.0,0.11595174262734587,0.0
660246-3,0.8840482573726541,-1.0,1.0,-1.0,0.11595174262734587,0.0
660241-1-001,0.6916890080428955,-1.0,0.5757372654155496,-1.0,0.11595174262734587,0.0
660446-3,0.9966487935656837,-1.0,0.8820375335120644,-1.0,0.11461126005361932,0.0
660250-2,0.8739946380697051,-1.0,0.9872654155495979,-1.0,0.11327077747989278,0.0
660044-2,0.5938337801608579,-1.0,0.48056300268096513,-1.0,0.11327077747989273,0.0
660409-2,0.863941018766756,-1.0,0.9765415549597856,-1.0,0.11260053619302957,0.0
660581-02,0.9865951742627346,-1.0,0.8739946380697051,-1.0,0.11260053619302945,0.0
660336-5,0.8873994638069705,-1.0,0.9993297587131368,-1.0,0.11193029490616624,0.0
660336-3,0.8873994638069705,-1.0,0.9993297587131368,-1.0,0.11193029490616624,0.0
660327-1,0.9798927613941019,-1.0,0.868632707774799,-1.0,0.11126005361930291,0.0
660172-6,0.8719839142091153,-1.0,0.982573726541555,-1.0,0.1105898123324397,0.0
660530-5,0.6226541554959786,-1.0,0.732573726541555,-1.0,0.10991957104557637,0.0
660227-2,0.8900804289544236,-1.0,0.9993297587131368,-1.0,0.10924932975871315,0.0
660447-4,0.9879356568364611,-1.0,0.8793565683646113,-1.0,0.10857908847184983,0.0
660342-5,0.8800268096514745,-1.0,0.9872654155495979,-1.0,0.1072386058981234,0.0
660574-02,0.8780160857908847,-1.0,0.7707774798927614,-1.0,0.1072386058981234,0.0
660493-3,0.7613941018766756,-1.0,0.8672922252010724,-1.0,0.10589812332439685,0.0
660398-4,0.8873994638069705,-1.0,0.9932975871313673,-1.0,0.10589812332439674,0.0
660341-1,0.8632707774798928,-1.0,0.9691689008042895,-1.0,0.10589812332439674,0.0
660250-1,0.8210455764075067,-1.0,0.9269436997319035,-1.0,0.10589812332439674,0.0
660591-01,0.982573726541555,-1.0,0.878686327077748,-1.0,0.10388739946380698,0.0
660634-04,0.9919571045576407,-1.0,0.8887399463806971,-1.0,0.10321715817694366,0.0
660236-2,1.0,-1.0,0.8974530831099196,-1.0,0.10254691689008044,0.0
660189-1,0.8894101876675603,-1.0,0.9912868632707775,-1.0,0.10187667560321723,0.0
660530-6,0.868632707774799,-1.0,0.7667560321715817,-1.0,0.10187667560321723,0.0
660327-2,0.9946380697050938,-1.0,0.8927613941018767,-1.0,0.10187667560321712,0.0
660400-3,0.9946380697050938,-1.0,0.8927613941018767,-1.0,0.10187667560321712,0.0
660244-3,0.886058981233244,-1.0,0.9872654155495979,-1.0,0.1012064343163539,0.0
