id,rank_of_pos_prism,rank_of_neg_prism,rank_of_pos_gigapath,rank_of_neg_gigapath,rank_of_pos_diff,rank_of_neg_diff
660050-5,0.03932584269662921,-1.0,0.863061797752809,-1.0,0.8237359550561798,0.0
660050-6,0.3202247191011236,-1.0,0.8735955056179775,-1.0,0.5533707865168539,0.0
660050-4,0.48384831460674155,-1.0,0.9978932584269663,-1.0,0.5140449438202248,0.0
660186-1,0.9669943820224719,-1.0,0.4691011235955056,-1.0,0.4978932584269663,0.0
660050-3,0.5196629213483146,-1.0,0.9922752808988764,-1.0,0.4726123595505618,0.0
660253-1,0.9992977528089888,-1.0,0.547752808988764,-1.0,0.4515449438202248,0.0
660050-2,0.5470505617977528,-1.0,0.973314606741573,-1.0,0.4262640449438202,0.0
660458-1,0.9353932584269663,-1.0,0.5667134831460674,-1.0,0.3686797752808989,0.0
660350-3,0.9908707865168539,-1.0,0.6495786516853933,-1.0,0.3412921348314606,0.0
660186-2,0.9332865168539326,-1.0,0.5955056179775281,-1.0,0.3377808988764045,0.0
660625-06,0.5737359550561798,-1.0,0.9073033707865169,-1.0,0.3335674157303371,0.0
660627-06,0.9375,-1.0,0.6151685393258427,-1.0,0.3223314606741573,0.0
660350-1,0.976123595505618,-1.0,0.6643258426966292,-1.0,0.3117977528089888,0.0
660470-3,0.6221910112359551,-1.0,0.9241573033707865,-1.0,0.3019662921348314,0.0
660627-05,0.964185393258427,-1.0,0.6650280898876404,-1.0,0.2991573033707866,0.0
660350-2,0.9382022471910112,-1.0,0.6404494382022472,-1.0,0.297752808988764,0.0
660365-3,0.7317415730337079,-1.0,0.43679775280898875,-1.0,0.29494382022471916,0.0
660196-3,0.9431179775280899,-1.0,0.6481741573033708,-1.0,0.2949438202247191,0.0
660164-2,0.6790730337078652,-1.0,0.973314606741573,-1.0,0.2942415730337078,0.0
660389-2,0.9747191011235955,-1.0,0.6818820224719101,-1.0,0.2928370786516854,0.0
660081-3,0.8490168539325843,-1.0,0.5561797752808989,-1.0,0.2928370786516854,0.0
660470-1,0.9269662921348315,-1.0,0.6383426966292135,-1.0,0.288623595505618,0.0
660456-1,1.0,-1.0,0.7134831460674157,-1.0,0.2865168539325843,0.0
660164-1,0.6123595505617978,-1.0,0.898876404494382,-1.0,0.2865168539325842,0.0
660305-1,0.9901685393258427,-1.0,0.7155898876404494,-1.0,0.2745786516853933,0.0
660055-2,0.663623595505618,-1.0,0.9382022471910112,-1.0,0.2745786516853932,0.0
660072-2,0.7247191011235955,-1.0,0.9978932584269663,-1.0,0.2731741573033708,0.0
660604-05,0.7212078651685393,-1.0,0.9859550561797753,-1.0,0.264747191011236,0.0
660242-5,0.8419943820224719,-1.0,0.577247191011236,-1.0,0.2647471910112359,0.0
660083-4,0.9894662921348315,-1.0,0.726123595505618,-1.0,0.2633426966292135,0.0
660253-2,0.9992977528089888,-1.0,0.7366573033707865,-1.0,0.2626404494382023,0.0
660548-1,0.5807584269662921,-1.0,0.8398876404494382,-1.0,0.2591292134831461,0.0
660335-4,0.9051966292134831,-1.0,0.6544943820224719,-1.0,0.2507022471910112,0.0
660486-5,0.5554775280898876,-1.0,0.8054775280898876,-1.0,0.25,0.0
660575-02,0.75,-1.0,0.9992977528089888,-1.0,0.2492977528089888,0.0
660456-2,1.0,-1.0,0.7521067415730337,-1.0,0.2478932584269663,0.0
660132-3,0.7507022471910112,-1.0,0.9957865168539326,-1.0,0.2450842696629214,0.0
660083-5,0.6502808988764045,-1.0,0.4066011235955056,-1.0,0.2436797752808989,0.0
660213-1,0.9712078651685393,-1.0,0.7289325842696629,-1.0,0.2422752808988764,0.0
660528-2,0.7478932584269663,-1.0,0.5070224719101124,-1.0,0.2408707865168539,0.0
660350-4,0.9775280898876404,-1.0,0.7408707865168539,-1.0,0.2366573033707865,0.0
660536-1,0.6846910112359551,-1.0,0.45575842696629215,-1.0,0.22893258426966295,0.0
660056-6,0.7654494382022472,-1.0,0.9922752808988764,-1.0,0.2268258426966292,0.0
660455-2,0.9375,-1.0,0.714185393258427,-1.0,0.223314606741573,0.0
660625-04,0.9269662921348315,-1.0,0.7050561797752809,-1.0,0.2219101123595506,0.0
660079-5,0.973314606741573,-1.0,0.7563202247191011,-1.0,0.2169943820224719,0.0
660083-3,0.7556179775280899,-1.0,0.5393258426966292,-1.0,0.2162921348314607,0.0
660435-4,0.7120786516853933,-1.0,0.9276685393258427,-1.0,0.2155898876404494,0.0
660628-02,0.8960674157303371,-1.0,0.6818820224719101,-1.0,0.214185393258427,0.0
660048-5,0.7844101123595506,-1.0,0.9978932584269663,-1.0,0.2134831460674157,0.0
660146-2,0.7844101123595506,-1.0,0.9971910112359551,-1.0,0.2127808988764045,0.0
660048-3,0.7801966292134831,-1.0,0.9915730337078652,-1.0,0.2113764044943821,0.0
660057-4,0.7844101123595506,-1.0,0.9957865168539326,-1.0,0.211376404494382,0.0
660045-2,0.7773876404494382,-1.0,0.9866573033707865,-1.0,0.2092696629213483,0.0
660256-2,0.8771067415730337,-1.0,0.6685393258426966,-1.0,0.2085674157303371,0.0
660460-2,0.8876404494382022,-1.0,0.6804775280898876,-1.0,0.2071629213483146,0.0
660572-01,0.7120786516853933,-1.0,0.9164325842696629,-1.0,0.2043539325842696,0.0
660209-2,0.6587078651685393,-1.0,0.8616573033707865,-1.0,0.2029494382022472,0.0
660050-1,0.7844101123595506,-1.0,0.9845505617977528,-1.0,0.2001404494382022,0.0
660242-4,0.8876404494382022,-1.0,0.6882022471910112,-1.0,0.199438202247191,0.0
660453-2,0.9213483146067416,-1.0,0.7247191011235955,-1.0,0.1966292134831461,0.0
660102-6,0.7963483146067416,-1.0,0.9908707865168539,-1.0,0.1945224719101123,0.0
660056-4,0.788623595505618,-1.0,0.9824438202247191,-1.0,0.1938202247191011,0.0
660458-2,0.8918539325842697,-1.0,0.6987359550561798,-1.0,0.1931179775280899,0.0
660173-3,0.9325842696629213,-1.0,0.7408707865168539,-1.0,0.1917134831460674,0.0
660558-01,0.8040730337078652,-1.0,0.9908707865168539,-1.0,0.1867977528089887,0.0
660146-1,0.8047752808988764,-1.0,0.9908707865168539,-1.0,0.1860955056179775,0.0
660133-5,0.8153089887640449,-1.0,0.9992977528089888,-1.0,0.1839887640449439,0.0
660604-04,0.9501404494382022,-1.0,0.7661516853932584,-1.0,0.1839887640449438,0.0
660470-2,0.9438202247191011,-1.0,0.7598314606741573,-1.0,0.1839887640449438,0.0
660048-4,0.8019662921348315,-1.0,0.985252808988764,-1.0,0.1832865168539325,0.0
660135-6,0.7844101123595506,-1.0,0.9669943820224719,-1.0,0.1825842696629213,0.0
660069-6,0.6931179775280899,-1.0,0.8757022471910112,-1.0,0.1825842696629213,0.0
660335-2,0.9683988764044944,-1.0,0.7865168539325843,-1.0,0.1818820224719101,0.0
660208-2,0.9669943820224719,-1.0,0.7851123595505618,-1.0,0.1818820224719101,0.0
660067-2,0.7844101123595506,-1.0,0.964185393258427,-1.0,0.1797752808988764,0.0
660101-2,0.9726123595505618,-1.0,0.7956460674157303,-1.0,0.1769662921348315,0.0
660185-2,0.9831460674157303,-1.0,0.8061797752808989,-1.0,0.1769662921348314,0.0
660575-01,0.8223314606741573,-1.0,0.9978932584269663,-1.0,0.175561797752809,0.0
660031,0.8265449438202247,-1.0,0.9978932584269663,-1.0,0.1713483146067416,0.0
660324-2,0.824438202247191,-1.0,0.9950842696629213,-1.0,0.1706460674157303,0.0
660604-06,0.7464887640449438,-1.0,0.9164325842696629,-1.0,0.1699438202247191,0.0
660045-5,0.7591292134831461,-1.0,0.9276685393258427,-1.0,0.1685393258426966,0.0
660486-2,0.9424157303370787,-1.0,0.7745786516853933,-1.0,0.1678370786516854,0.0
660356-2,0.8181179775280899,-1.0,0.9859550561797753,-1.0,0.1678370786516854,0.0
660501-4,0.5589887640449438,-1.0,0.39185393258426965,-1.0,0.16713483146067415,0.0
660435-6,0.8307584269662921,-1.0,0.9971910112359551,-1.0,0.166432584269663,0.0
660420-3,0.8588483146067416,-1.0,0.6938202247191011,-1.0,0.1650280898876405,0.0
660132-4,0.8328651685393258,-1.0,0.9978932584269663,-1.0,0.1650280898876405,0.0
660056-3,0.7844101123595506,-1.0,0.9487359550561798,-1.0,0.1643258426966292,0.0
660087-2,0.8223314606741573,-1.0,0.9859550561797753,-1.0,0.163623595505618,0.0
660372-1,0.7949438202247191,-1.0,0.9585674157303371,-1.0,0.163623595505618,0.0
660057-3,0.8328651685393258,-1.0,0.9950842696629213,-1.0,0.1622191011235955,0.0
660087-1,0.8125,-1.0,0.9740168539325843,-1.0,0.1615168539325843,0.0
660435-3,0.7703651685393258,-1.0,0.9318820224719101,-1.0,0.1615168539325843,0.0
660455-1,0.9375,-1.0,0.776685393258427,-1.0,0.160814606741573,0.0
660625-03,0.7598314606741573,-1.0,0.5990168539325843,-1.0,0.160814606741573,0.0
660617-01,0.7036516853932584,-1.0,0.863061797752809,-1.0,0.1594101123595506,0.0
660081-4,0.9971910112359551,-1.0,0.8384831460674157,-1.0,0.1587078651685394,0.0
660133-6,0.8384831460674157,-1.0,0.9971910112359551,-1.0,0.1587078651685394,0.0
660335-6,0.8532303370786517,-1.0,0.6959269662921348,-1.0,0.1573033707865169,0.0
660162-1,0.8279494382022472,-1.0,0.985252808988764,-1.0,0.1573033707865168,0.0
660567-02,0.9824438202247191,-1.0,0.8293539325842697,-1.0,0.1530898876404494,0.0
660242-3,0.9410112359550562,-1.0,0.7900280898876404,-1.0,0.1509831460674158,0.0
660156-1,0.8054775280898876,-1.0,0.9564606741573034,-1.0,0.1509831460674158,0.0
660550-01,0.9887640449438202,-1.0,0.8377808988764045,-1.0,0.1509831460674157,0.0
660475-1,0.8153089887640449,-1.0,0.964185393258427,-1.0,0.1488764044943821,0.0
660036-1,0.8497191011235955,-1.0,0.9985955056179775,-1.0,0.148876404494382,0.0
660335-1,0.9564606741573034,-1.0,0.8089887640449438,-1.0,0.1474719101123596,0.0
660420-1,0.8174157303370787,-1.0,0.964185393258427,-1.0,0.1467696629213483,0.0
660526-2,0.8265449438202247,-1.0,0.9719101123595506,-1.0,0.1453651685393259,0.0
660479-2,0.8419943820224719,-1.0,0.9866573033707865,-1.0,0.1446629213483146,0.0
660476-2,0.8827247191011236,-1.0,0.7387640449438202,-1.0,0.1439606741573034,0.0
660567-01,0.9817415730337079,-1.0,0.839185393258427,-1.0,0.1425561797752809,0.0
660104-5,0.827247191011236,-1.0,0.9691011235955056,-1.0,0.1418539325842696,0.0
660163-1,0.7865168539325843,-1.0,0.9269662921348315,-1.0,0.1404494382022472,0.0
660177-5,0.7422752808988764,-1.0,0.8806179775280899,-1.0,0.1383426966292135,0.0
660168-6,0.8265449438202247,-1.0,0.964185393258427,-1.0,0.1376404494382023,0.0
660165-2,0.8328651685393258,-1.0,0.9698033707865169,-1.0,0.1369382022471911,0.0
660201-1,0.9992977528089888,-1.0,0.8637640449438202,-1.0,0.1355337078651686,0.0
660242-6,0.7830056179775281,-1.0,0.6474719101123596,-1.0,0.1355337078651685,0.0
660081-2,0.9964887640449438,-1.0,0.8616573033707865,-1.0,0.1348314606741573,0.0
660137-4,0.860252808988764,-1.0,0.9950842696629213,-1.0,0.1348314606741573,0.0
660113-1,0.9992977528089888,-1.0,0.8651685393258427,-1.0,0.1341292134831461,0.0
660173-5,0.7851123595505618,-1.0,0.9192415730337079,-1.0,0.1341292134831461,0.0
660055-1,0.839185393258427,-1.0,0.973314606741573,-1.0,0.134129213483146,0.0
