id,rank_of_pos_prism,rank_of_neg_prism,rank_of_pos_gigapath,rank_of_neg_gigapath,rank_of_pos_diff,rank_of_neg_diff
660065-5,0.5695674830640959,-1.0,0.9911412193850964,-1.0,0.4215737363210005,0.0
660158-6,0.600833767587285,-1.0,0.9947889525794684,-1.0,0.3939551849921834,0.0
660158-5,0.5997915581031787,-1.0,0.993225638353309,-1.0,0.39343408025013027,0.0
660065-6,0.7587285044293903,-1.0,0.9718603439291298,-1.0,0.21313183949973946,0.0
660379-6,0.7816571130797291,-1.0,0.9801980198019802,-1.0,0.1985409067222511,0.0
660424-5,0.7972902553413236,-1.0,0.9942678478374153,-1.0,0.1969775924960917,0.0
660442-3,0.8077123501823866,-1.0,0.9994788952579469,-1.0,0.19176654507556024,0.0
660059-4,0.9729025534132361,-1.0,0.7837415320479416,-1.0,0.18916102136529445,0.0
660166-3,0.7988535695674831,-1.0,0.962480458572173,-1.0,0.1636268890046899,0.0
660416-5,0.4757686294945284,-1.0,0.34757686294945284,-1.0,0.12819176654507558,0.0
660382-1,0.8921313183949974,-1.0,0.993225638353309,-1.0,0.10109431995831164,0.0
660379-3,0.9499739447628973,-1.0,0.8520062532569046,-1.0,0.09796769150599272,0.0
660380-6,0.8676393955184992,-1.0,0.7738405419489317,-1.0,0.09379885356956752,0.0
660382-2,0.8999478895257946,-1.0,0.993225638353309,-1.0,0.09327774882751438,0.0
660059-3,0.9499739447628973,-1.0,0.8587806149035956,-1.0,0.09119332985930173,0.0
660158-3,0.9124544033350703,-1.0,1.0,-1.0,0.08754559666492967,0.0
660379-5,0.8676393955184992,-1.0,0.9541427826993225,-1.0,0.08650338718082329,0.0
660158-4,0.9150599270453361,-1.0,0.9979155810317873,-1.0,0.08285565398645123,0.0
660166-6,0.9166232412714955,-1.0,0.9979155810317873,-1.0,0.08129233976029182,0.0
660474-6,0.9332985930171964,-1.0,0.9989577905158937,-1.0,0.06565919749869731,0.0
660323-3,0.8254299114121939,-1.0,0.8738926524231371,-1.0,0.04846274101094317,0.0
660323-4,0.8551328817092235,-1.0,0.9030745179781136,-1.0,0.04794163626889003,0.0
660380-3,0.8759770713913496,-1.0,0.829077644606566,-1.0,0.04689942678478365,0.0
660158-2d,0.948931735278791,-1.0,0.993225638353309,-1.0,0.04429390307451797,0.0
660166-4,0.9223553934340802,-1.0,0.9661281917665451,-1.0,0.043772798332464835,0.0
660379-4,0.8775403856175091,-1.0,0.9155810317873893,-1.0,0.03804064616988012,0.0
660323-6,0.9979155810317873,-1.0,0.9661281917665451,-1.0,0.03178738926524227,0.0
660451-2,0.9682126107347577,-1.0,1.0,-1.0,0.03178738926524227,0.0
660424-4,0.969254820218864,-1.0,0.9994788952579469,-1.0,0.030224075039082865,0.0
660158-2c,0.9702970297029703,-1.0,0.9984366857738406,-1.0,0.028139656070870323,0.0
660109-6,0.832725377800938,-1.0,0.8045857217300677,-1.0,0.028139656070870323,0.0
660362-1,0.9958311620635748,-1.0,0.9687337154768109,-1.0,0.02709744658676394,0.0
660474-5,0.9713392391870767,-1.0,0.9979155810317873,-1.0,0.026576341844710694,0.0
660323-5,0.9989577905158937,-1.0,0.9744658676393955,-1.0,0.024491922876498262,0.0
660451-5,0.9755080771235018,-1.0,0.9984366857738406,-1.0,0.022928608650338744,0.0
660323-1,1.0,-1.0,0.979676915059927,-1.0,0.020323084940072955,0.0
660058-4,0.9791558103178739,-1.0,0.9989577905158937,-1.0,0.01980198019801982,0.0
