id,rank_of_pos_prism,rank_of_neg_prism,rank_of_pos_uni,rank_of_neg_uni,rank_of_pos_diff,rank_of_neg_diff
660473-3,0.43086816720257237,-1.0,0.9440514469453376,-1.0,0.5131832797427652,0.0
660126-6,0.4758842443729904,-1.0,0.9517684887459807,-1.0,0.4758842443729904,0.0
660403-6,0.5131832797427652,-1.0,0.9620578778135048,-1.0,0.4488745980707396,0.0
660472-3,0.4231511254019293,-1.0,0.8643086816720257,-1.0,0.4411575562700964,0.0
660393-3,0.5665594855305466,-1.0,0.9594855305466238,-1.0,0.3929260450160772,0.0
660506-6,0.932475884244373,-1.0,0.5639871382636656,-1.0,0.36848874598070736,0.0
660393-5,0.5884244372990354,-1.0,0.9318327974276527,-1.0,0.3434083601286173,0.0
660437-4,0.7067524115755627,-1.0,0.9961414790996784,-1.0,0.28938906752411575,0.0
660448-2,0.9389067524115756,-1.0,0.6585209003215434,-1.0,0.2803858520900322,0.0
660551-05,0.7196141479099678,-1.0,0.997427652733119,-1.0,0.27781350482315115,0.0
660444-4,0.992282958199357,-1.0,0.7163987138263666,-1.0,0.2758842443729904,0.0
660393-6,0.7028938906752411,-1.0,0.9659163987138264,-1.0,0.2630225080385853,0.0
660521-1,0.715112540192926,-1.0,0.9691318327974277,-1.0,0.2540192926045016,0.0
660487-2,0.9839228295819936,-1.0,0.7594855305466238,-1.0,0.2244372990353698,0.0
660100-3,0.7344051446945338,-1.0,0.9588424437299036,-1.0,0.2244372990353698,0.0
660437-3,0.780064308681672,-1.0,0.9987138263665595,-1.0,0.2186495176848875,0.0
660393-4,0.7581993569131833,-1.0,0.9742765273311897,-1.0,0.21607717041800645,0.0
660403-5,0.6881028938906752,-1.0,0.9016077170418006,-1.0,0.2135048231511254,0.0
660473-4,0.7504823151125402,-1.0,0.9607717041800643,-1.0,0.21028938906752415,0.0
660631-01,0.7581993569131833,-1.0,0.9665594855305466,-1.0,0.2083601286173633,0.0
660066-1,0.992282958199357,-1.0,0.7852090032154341,-1.0,0.2070739549839229,0.0
660551-06,0.7935691318327974,-1.0,0.997427652733119,-1.0,0.20385852090032153,0.0
660472-4,0.7652733118971061,-1.0,0.9440514469453376,-1.0,0.17877813504823148,0.0
660417-6,0.8315112540192926,-1.0,0.9909967845659164,-1.0,0.15948553054662384,0.0
660534-4,0.727331189710611,-1.0,0.8855305466237942,-1.0,0.1581993569131832,0.0
660126-5,0.8128617363344052,-1.0,0.9704180064308682,-1.0,0.157556270096463,0.0
660521-2,0.8109324758842443,-1.0,0.9633440514469453,-1.0,0.15241157556270102,0.0
660171-6,0.9942122186495177,-1.0,0.8437299035369775,-1.0,0.15048231511254018,0.0
660521-3,0.6282958199356913,-1.0,0.777491961414791,-1.0,0.14919614147909976,0.0
660171-5,0.9736334405144694,-1.0,0.8308681672025724,-1.0,0.14276527331189703,0.0
660228-3,0.8540192926045016,-1.0,0.9961414790996784,-1.0,0.14212218649517683,0.0
660448-1,0.8205787781350482,-1.0,0.6893890675241158,-1.0,0.13118971061093243,0.0
660225-2,0.9106109324758842,-1.0,0.7852090032154341,-1.0,0.12540192926045013,0.0
660500-6,0.97491961414791,-1.0,0.85016077170418,-1.0,0.12475884244372992,0.0
660399-3,0.802572347266881,-1.0,0.9266881028938907,-1.0,0.12411575562700972,0.0
660404-5,0.8327974276527331,-1.0,0.9466237942122186,-1.0,0.11382636655948553,0.0
660443-5,0.8713826366559485,-1.0,0.9839228295819936,-1.0,0.11254019292604511,0.0
660506-4,0.952411575562701,-1.0,0.8405144694533762,-1.0,0.1118971061093248,0.0
660472-5,0.8823151125401929,-1.0,0.9916398713826367,-1.0,0.10932475884244375,0.0
660399-4,0.8919614147909968,-1.0,1.0,-1.0,0.10803858520900322,0.0
660304-6,0.8694533762057878,-1.0,0.9742765273311897,-1.0,0.10482315112540197,0.0
660404-6,0.8527331189710611,-1.0,0.9536977491961415,-1.0,0.1009646302250804,0.0
660484-1,0.9839228295819936,-1.0,0.8945337620578778,-1.0,0.0893890675241158,0.0
660228-4,0.9028938906752412,-1.0,0.9916398713826367,-1.0,0.08874598070739548,0.0
660440-6,0.9106109324758842,-1.0,0.9967845659163987,-1.0,0.08617363344051454,0.0
660515-6,0.9884244372990354,-1.0,0.9041800643086817,-1.0,0.0842443729903537,0.0
660600-06,0.9987138263665595,-1.0,0.9163987138263665,-1.0,0.08231511254019297,0.0
660444-5,0.9633440514469453,-1.0,0.8810289389067524,-1.0,0.08231511254019297,0.0
660322-5,0.9041800643086817,-1.0,0.9864951768488746,-1.0,0.08231511254019286,0.0
660472-1,0.8926045016077171,-1.0,0.8115755627009646,-1.0,0.08102893890675245,0.0
660472-2,0.8263665594855305,-1.0,0.7453376205787782,-1.0,0.08102893890675233,0.0
660040-4,0.895176848874598,-1.0,0.9742765273311897,-1.0,0.07909967845659172,0.0
660230-6,0.9286173633440514,-1.0,0.9993569131832798,-1.0,0.07073954983922837,0.0
660631-02,0.7807073954983923,-1.0,0.85016077170418,-1.0,0.06945337620578773,0.0
660068-1,0.8893890675241157,-1.0,0.9562700964630225,-1.0,0.0668810289389068,0.0
660598-03,0.9292604501607717,-1.0,0.9948553054662379,-1.0,0.06559485530546616,0.0
660233-4,0.9980707395498393,-1.0,0.9337620578778135,-1.0,0.06430868167202575,0.0
660598-04,0.935048231511254,-1.0,0.9993569131832798,-1.0,0.06430868167202575,0.0
660506-3,0.8739549839228296,-1.0,0.9382636655948553,-1.0,0.06430868167202575,0.0
660230-5,0.9292604501607717,-1.0,0.9916398713826367,-1.0,0.062379421221864906,0.0
660225-1,0.9646302250803859,-1.0,0.9041800643086817,-1.0,0.060450160771704176,0.0
660417-5,0.9292604501607717,-1.0,0.9884244372990354,-1.0,0.05916398713826365,0.0
660619-04,0.692604501607717,-1.0,0.7446945337620579,-1.0,0.052090032154340826,0.0
660431-3,0.9118971061093247,-1.0,0.9633440514469453,-1.0,0.05144694533762062,0.0
660434-3,0.952411575562701,-1.0,0.9993569131832798,-1.0,0.04694533762057884,0.0
660100-1,1.0,-1.0,0.9562700964630225,-1.0,0.04372990353697748,0.0
660434-5,0.952411575562701,-1.0,0.9961414790996784,-1.0,0.04372990353697748,0.0
660417-4,0.9569131832797427,-1.0,1.0,-1.0,0.04308681672025727,0.0
660322-4,0.9035369774919614,-1.0,0.9466237942122186,-1.0,0.04308681672025727,0.0
660071-4,0.9331189710610932,-1.0,0.9742765273311897,-1.0,0.04115755627009654,0.0
660112-4,0.7652733118971061,-1.0,0.8064308681672026,-1.0,0.04115755627009643,0.0
