id,negative_count_prism,positive_count_prism,negative_count_uni,positive_count_uni,negative_diff,positive_diff
660174-4,0.43766756032171583,-1.0,0.9772117962466488,-1.0,0.539544235924933,0.0
660251-1,0.4450402144772118,-1.0,0.9772117962466488,-1.0,0.532171581769437,0.0
660409-1,0.47520107238605896,-1.0,1.0,-1.0,0.5247989276139411,0.0
660465-3,0.3491957104557641,-1.0,0.8605898123324397,-1.0,0.5113941018766757,0.0
660446-4,0.49932975871313673,-1.0,0.9772117962466488,-1.0,0.47788203753351205,0.0
660107-1,0.8800268096514745,-1.0,0.4054959785522788,-1.0,0.4745308310991957,0.0
660530-6,0.868632707774799,-1.0,0.39745308310991956,-1.0,0.4711796246648794,0.0
660527-1,0.47520107238605896,-1.0,0.9349865951742627,-1.0,0.4597855227882038,0.0
660493-5,0.5053619302949062,-1.0,0.9450402144772118,-1.0,0.4396782841823056,0.0
660346-1,0.5308310991957105,-1.0,0.9584450402144772,-1.0,0.4276139410187667,0.0
660531-3,0.44705093833780163,-1.0,0.8552278820375335,-1.0,0.4081769436997319,0.0
660243-5,0.8646112600536193,-1.0,0.460455764075067,-1.0,0.4041554959785523,0.0
660107-2,0.7694369973190348,-1.0,0.3652815013404826,-1.0,0.4041554959785522,0.0
660577-01,0.5576407506702413,-1.0,0.9470509383378016,-1.0,0.3894101876675603,0.0
660030-5,0.596514745308311,-1.0,0.9765415549597856,-1.0,0.3800268096514746,0.0
660032-1,0.6092493297587132,-1.0,0.9865951742627346,-1.0,0.3773458445040214,0.0
660394-5,0.46581769436997317,-1.0,0.8250670241286864,-1.0,0.3592493297587132,0.0
660601-04,0.492627345844504,-1.0,0.8512064343163539,-1.0,0.3585790884718499,0.0
660577-02,0.5710455764075067,-1.0,0.9175603217158177,-1.0,0.34651474530831095,0.0
660091-5,0.660857908847185,-1.0,0.9939678284182306,-1.0,0.33310991957104563,0.0
660452-1,0.8176943699731903,-1.0,0.49195710455764075,-1.0,0.3257372654155496,0.0
660402-6,0.6689008042895442,-1.0,0.9946380697050938,-1.0,0.3257372654155496,0.0
660192-4,0.9953083109919572,-1.0,0.6762734584450402,-1.0,0.319034852546917,0.0
660447-5,0.6012064343163539,-1.0,0.9189008042895442,-1.0,0.31769436997319034,0.0
