id,negative_count_prism,positive_count_prism,negative_count_uni,positive_count_uni,negative_diff,positive_diff
660416-5,0.4757686294945284,-1.0,0.9056800416883793,-1.0,0.42991141219385093,0.0
660158-2d,0.948931735278791,-1.0,0.6065659197498697,-1.0,0.3423658155289213,0.0
660065-5,0.5695674830640959,-1.0,0.866597186034393,-1.0,0.29702970297029707,0.0
660158-5,0.5997915581031787,-1.0,0.8832725377800938,-1.0,0.2834809796769151,0.0
660379-3,0.9499739447628973,-1.0,0.7097446586763939,-1.0,0.2402292860865034,0.0
660380-5,0.7670661803022407,-1.0,0.9775924960917144,-1.0,0.21052631578947367,0.0
660379-4,0.8775403856175091,-1.0,0.6889004689942678,-1.0,0.1886399166232413,0.0
660442-3,0.8077123501823866,-1.0,0.9947889525794684,-1.0,0.1870766023970818,0.0
660379-6,0.7816571130797291,-1.0,0.9577905158936947,-1.0,0.1761334028139656,0.0
660323-3,0.8254299114121939,-1.0,0.9942678478374153,-1.0,0.16883793642522138,0.0
660158-6,0.600833767587285,-1.0,0.7519541427826993,-1.0,0.15112037519541432,0.0
660166-3,0.7988535695674831,-1.0,0.9161021365294424,-1.0,0.11724856696195929,0.0
660065-6,0.7587285044293903,-1.0,0.8738926524231371,-1.0,0.11516414799374675,0.0
660380-6,0.8676393955184992,-1.0,0.9812402292860865,-1.0,0.11360083376758723,0.0
660323-4,0.8551328817092235,-1.0,0.9640437727983324,-1.0,0.1089108910891089,0.0
660424-5,0.7972902553413236,-1.0,0.8900468994267848,-1.0,0.09275664408546125,0.0
660058-1,0.9989577905158937,-1.0,0.9082855653986451,-1.0,0.0906722251172486,0.0
660158-3,0.9124544033350703,-1.0,0.9958311620635748,-1.0,0.08337675872850447,0.0
660382-1,0.8921313183949974,-1.0,0.9749869723814487,-1.0,0.08285565398645134,0.0
660382-2,0.8999478895257946,-1.0,0.9791558103178739,-1.0,0.07920792079207928,0.0
660166-6,0.9166232412714955,-1.0,0.9953100573215217,-1.0,0.07868681605002614,0.0
660380-4,0.8686816050026055,-1.0,0.9458051068264721,-1.0,0.07712350182386662,0.0
660380-3,0.8759770713913496,-1.0,0.9426784783741532,-1.0,0.06670140698280358,0.0
660109-5,0.8863991662324127,-1.0,0.9411151641479938,-1.0,0.05471599791558113,0.0
660379-5,0.8676393955184992,-1.0,0.921313183949974,-1.0,0.053673788431474745,0.0
660474-5,0.9713392391870767,-1.0,0.9223553934340802,-1.0,0.04898384575299641,0.0
660166-5,0.9478895257946848,-1.0,0.9968733715476811,-1.0,0.0489838457529963,0.0
660424-6,0.9817613340281397,-1.0,0.9395518499218343,-1.0,0.04220948410630543,0.0
660059-4,0.9729025534132361,-1.0,0.9338196977592496,-1.0,0.039082855653986504,0.0
660109-6,0.832725377800938,-1.0,0.8707660239708181,-1.0,0.03804064616988012,0.0
660059-3,0.9499739447628973,-1.0,0.9176654507556019,-1.0,0.03230849400729541,0.0
660451-2,0.9682126107347577,-1.0,0.9984366857738406,-1.0,0.030224075039082865,0.0
660109-4,0.9708181344450234,-1.0,1.0,-1.0,0.029181865554976594,0.0
660109-3,0.9723814486711829,-1.0,1.0,-1.0,0.027618551328817076,0.0
660474-3,0.9994788952579469,-1.0,0.9739447628973423,-1.0,0.025534132360604533,0.0
660451-5,0.9755080771235018,-1.0,1.0,-1.0,0.02449192287649815,0.0
660158-2c,0.9702970297029703,-1.0,0.9478895257946848,-1.0,0.022407503908285498,0.0
660424-4,0.969254820218864,-1.0,0.9885356956748307,-1.0,0.019280875455966684,0.0
660451-6,0.9807191245440333,-1.0,0.9994788952579469,-1.0,0.01875977071391355,0.0
660058-4,0.9791558103178739,-1.0,0.9953100573215217,-1.0,0.01615424700364776,0.0
660058-3,0.9817613340281397,-1.0,0.9968733715476811,-1.0,0.015112037519541377,0.0
660442-1,0.9838457529963522,-1.0,0.9963522668056279,-1.0,0.012506513809275699,0.0
660451-4,0.9885356956748307,-1.0,1.0,-1.0,0.011464304325169317,0.0
660543-5,0.989577905158937,-1.0,1.0,-1.0,0.010422094841063045,0.0
660540-5,0.9900990099009901,-1.0,0.9994788952579469,-1.0,0.009379885356956774,0.0
660362-2,0.9869723814486712,-1.0,0.9958311620635748,-1.0,0.008858780614903639,0.0
660158-2a,1.0,-1.0,0.9927045336112559,-1.0,0.007295466388744121,0.0
660125-3,0.9927045336112559,-1.0,1.0,-1.0,0.007295466388744121,0.0
660061-6,0.9994788952579469,-1.0,0.9927045336112559,-1.0,0.006774361646690985,0.0
660061-5,0.9989577905158937,-1.0,0.9921834288692027,-1.0,0.006774361646690985,0.0
660352-2,0.9869723814486712,-1.0,0.9927045336112559,-1.0,0.005732152162584714,0.0
660461-5,0.986451276706618,-1.0,0.9921834288692027,-1.0,0.005732152162584714,0.0
660061-4,0.9937467430953622,-1.0,0.9989577905158937,-1.0,0.005211047420531578,0.0
660158-4,0.9150599270453361,-1.0,0.9098488796248045,-1.0,0.005211047420531578,0.0
660540-1,0.9979155810317873,-1.0,0.9927045336112559,-1.0,0.005211047420531467,0.0
660532-1,0.9994788952579469,-1.0,0.9947889525794684,-1.0,0.004689942678478443,0.0
660352-3,0.9927045336112559,-1.0,0.9973944762897342,-1.0,0.004689942678478332,0.0
660474-6,0.9332985930171964,-1.0,0.9374674309536217,-1.0,0.004168837936425307,0.0
660158-2b,1.0,-1.0,0.9958311620635748,-1.0,0.004168837936425196,0.0
660543-2,0.9958311620635748,-1.0,1.0,-1.0,0.004168837936425196,0.0
660125-2,0.9958311620635748,-1.0,1.0,-1.0,0.004168837936425196,0.0
660352-4,0.9885356956748307,-1.0,0.9927045336112559,-1.0,0.004168837936425196,0.0
660125-5,0.9994788952579469,-1.0,0.9958311620635748,-1.0,0.0036477331943720603,0.0
660461-6,0.9979155810317873,-1.0,0.9942678478374153,-1.0,0.0036477331943720603,0.0
660416-3,0.9963522668056279,-1.0,1.0,-1.0,0.0036477331943720603,0.0
660352-6,0.9958311620635748,-1.0,0.9994788952579469,-1.0,0.0036477331943720603,0.0
660532-5,0.9937467430953622,-1.0,0.9973944762897342,-1.0,0.0036477331943720603,0.0
660490-3,0.9994788952579469,-1.0,0.9963522668056279,-1.0,0.0031266284523189247,0.0
660125-6,0.9989577905158937,-1.0,0.9958311620635748,-1.0,0.0031266284523189247,0.0
660059-5,0.9979155810317873,-1.0,0.9947889525794684,-1.0,0.0031266284523189247,0.0
660543-6,0.9968733715476811,-1.0,1.0,-1.0,0.0031266284523189247,0.0
660125-1,0.9968733715476811,-1.0,1.0,-1.0,0.0031266284523189247,0.0
660319-6,0.9958311620635748,-1.0,0.9927045336112559,-1.0,0.0031266284523189247,0.0
660340-3,0.9958311620635748,-1.0,0.9989577905158937,-1.0,0.0031266284523189247,0.0
660340-4,0.9958311620635748,-1.0,0.9989577905158937,-1.0,0.0031266284523189247,0.0
660442-2,0.9958311620635748,-1.0,0.9989577905158937,-1.0,0.0031266284523189247,0.0
660176-2,1.0,-1.0,0.9973944762897342,-1.0,0.002605523710265789,0.0
660061-2,0.9994788952579469,-1.0,0.9968733715476811,-1.0,0.002605523710265789,0.0
660166-2,0.9973944762897342,-1.0,1.0,-1.0,0.002605523710265789,0.0
660059-6,0.9968733715476811,-1.0,0.9994788952579469,-1.0,0.002605523710265789,0.0
660166-1,0.9968733715476811,-1.0,0.9994788952579469,-1.0,0.002605523710265789,0.0
660395-6,0.9968733715476811,-1.0,0.9994788952579469,-1.0,0.002605523710265789,0.0
660474-4,0.9994788952579469,-1.0,0.9973944762897342,-1.0,0.0020844189682126535,0.0
660061-1,0.9994788952579469,-1.0,0.9973944762897342,-1.0,0.0020844189682126535,0.0
660490-6,0.9994788952579469,-1.0,0.9973944762897342,-1.0,0.0020844189682126535,0.0
660490-5,0.9994788952579469,-1.0,0.9973944762897342,-1.0,0.0020844189682126535,0.0
660532-2,0.9994788952579469,-1.0,0.9973944762897342,-1.0,0.0020844189682126535,0.0
660108-5,0.9979155810317873,-1.0,1.0,-1.0,0.0020844189682126535,0.0
660395-4,0.9979155810317873,-1.0,1.0,-1.0,0.0020844189682126535,0.0
660540-3,0.9979155810317873,-1.0,1.0,-1.0,0.0020844189682126535,0.0
660319-5,0.9973944762897342,-1.0,0.9994788952579469,-1.0,0.0020844189682126535,0.0
660442-4,0.9973944762897342,-1.0,0.9994788952579469,-1.0,0.0020844189682126535,0.0
660058-2,0.9989577905158937,-1.0,0.9973944762897342,-1.0,0.0015633142261595179,0.0
660380-2,0.9989577905158937,-1.0,0.9973944762897342,-1.0,0.0015633142261595179,0.0
660451-1,0.9989577905158937,-1.0,0.9973944762897342,-1.0,0.0015633142261595179,0.0
660340-6,0.9979155810317873,-1.0,0.9994788952579469,-1.0,0.0015633142261595179,0.0
660323-6,0.9979155810317873,-1.0,0.9994788952579469,-1.0,0.0015633142261595179,0.0
660125-4,0.9979155810317873,-1.0,0.9994788952579469,-1.0,0.0015633142261595179,0.0
660319-3,0.9979155810317873,-1.0,0.9994788952579469,-1.0,0.0015633142261595179,0.0
660540-6,0.9968733715476811,-1.0,0.9984366857738406,-1.0,0.0015633142261595179,0.0
660532-6,0.9963522668056279,-1.0,0.9947889525794684,-1.0,0.0015633142261595179,0.0
660362-1,0.9958311620635748,-1.0,0.9942678478374153,-1.0,0.0015633142261595179,0.0
660380-1,0.9947889525794684,-1.0,0.9958311620635748,-1.0,0.0010422094841063823,0.0
660424-3,0.9947889525794684,-1.0,0.9958311620635748,-1.0,0.0010422094841063823,0.0
660540-4,1.0,-1.0,0.9989577905158937,-1.0,0.0010422094841062712,0.0
660351-1,0.9989577905158937,-1.0,1.0,-1.0,0.0010422094841062712,0.0
660416-1,0.9989577905158937,-1.0,1.0,-1.0,0.0010422094841062712,0.0
660323-5,0.9989577905158937,-1.0,1.0,-1.0,0.0010422094841062712,0.0
660340-2,0.9989577905158937,-1.0,1.0,-1.0,0.0010422094841062712,0.0
660416-2,0.9989577905158937,-1.0,1.0,-1.0,0.0010422094841062712,0.0
660176-1,1.0,-1.0,0.9994788952579469,-1.0,0.0005211047420531356,0.0
660382-6,1.0,-1.0,0.9994788952579469,-1.0,0.0005211047420531356,0.0
660229-1,1.0,-1.0,0.9994788952579469,-1.0,0.0005211047420531356,0.0
660229-2,1.0,-1.0,0.9994788952579469,-1.0,0.0005211047420531356,0.0
660442-6,1.0,-1.0,0.9994788952579469,-1.0,0.0005211047420531356,0.0
660532-3,1.0,-1.0,0.9994788952579469,-1.0,0.0005211047420531356,0.0
660382-5,1.0,-1.0,0.9994788952579469,-1.0,0.0005211047420531356,0.0
660442-5,1.0,-1.0,0.9994788952579469,-1.0,0.0005211047420531356,0.0
660540-2,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660424-2,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660108-6,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660474-2,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660108-2,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660319-4,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660065-1,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660462-4,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660161-3,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660065-2,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660065-4,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660161-5,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660059-1,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660065-3,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660108-4,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660161-6,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660395-3,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660323-2,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660395-5,0.9994788952579469,-1.0,0.9989577905158937,-1.0,0.0005211047420531356,0.0
660462-3,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660395-1,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660543-1,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
660351-4,0.9994788952579469,-1.0,1.0,-1.0,0.0005211047420531356,0.0
