,foundation_model,aggregator,classifier,gt,eq,lt
16,prism,PRISM,MLP,36,0,0
18,prism,PRISM,xgb,33,2,1
33,uni,abmil-1_heads,MLP,31,4,1
17,prism,PRISM,lr,30,5,1
36,uni,gabmil-8_heads,MLP,27,7,2
35,uni,gabmil-1_heads,MLP,26,7,3
3,gigapath,abmil-1_heads,MLP,23,9,4
22,prism,gabmil-8_heads,MLP,22,10,4
4,gigapath,abmil-8_heads,MLP,22,8,6
21,prism,gabmil-1_heads,MLP,22,10,4
6,gigapath,gabmil-8_heads,MLP,22,8,6
19,prism,abmil-1_heads,MLP,22,10,4
5,gigapath,gabmil-1_heads,MLP,22,7,7
20,prism,abmil-8_heads,MLP,22,8,6
34,uni,abmil-8_heads,MLP,22,11,3
14,prism,GAP,lr,20,1,15
31,uni,GAP,lr,20,1,15
1,gigapath,GAP,lr,18,1,17
11,gigapath,gigapath_pool,lr,17,2,17
13,prism,GAP,MLP,14,4,18
30,uni,GAP,MLP,14,3,19
8,gigapath,gigapath_cls,lr,13,4,19
0,gigapath,GAP,MLP,12,3,21
32,uni,GAP,xgb,12,5,19
15,prism,GAP,xgb,11,3,22
2,gigapath,GAP,xgb,9,2,25
24,resnet18,GAP,lr,9,3,24
10,gigapath,gigapath_pool,MLP,9,2,25
12,gigapath,gigapath_pool,xgb,8,0,28
25,resnet18,GAP,xgb,5,2,29
27,resnet18,abmil-8_heads,MLP,5,2,29
29,resnet18,gabmil-8_heads,MLP,4,1,31
9,gigapath,gigapath_cls,xgb,4,3,29
23,resnet18,GAP,MLP,1,2,33
28,resnet18,gabmil-1_heads,MLP,1,2,33
26,resnet18,abmil-1_heads,MLP,1,2,33
7,gigapath,gigapath_cls,MLP,0,0,36
