id,rank_of_pos_uni,rank_of_neg_uni,rank_of_pos_gigapath,rank_of_neg_gigapath,rank_of_pos_diff,rank_of_neg_diff
660042-3,0.9755627009646303,-1.0,0.4585209003215434,-1.0,0.5170418006430868,0.0
660080-5,0.9903536977491961,-1.0,0.6681672025723473,-1.0,0.32218649517684883,0.0
660322-3,0.9453376205787781,-1.0,0.6257234726688103,-1.0,0.3196141479099678,0.0
660599-06,0.9472668810289389,-1.0,0.6302250803858521,-1.0,0.31704180064308674,0.0
660631-02,0.85016077170418,-1.0,0.5627009646302251,-1.0,0.2874598070739549,0.0
660484-2,0.9131832797427653,-1.0,0.6469453376205788,-1.0,0.26623794212218643,0.0
660444-4,0.7163987138263666,-1.0,0.9807073954983923,-1.0,0.2643086816720257,0.0
660523-3,0.9954983922829582,-1.0,0.7356913183279743,-1.0,0.2598070739549839,0.0
660080-6,0.9864951768488746,-1.0,0.7337620578778135,-1.0,0.2527331189710611,0.0
660631-01,0.9665594855305466,-1.0,0.7196141479099678,-1.0,0.2469453376205788,0.0
660506-6,0.5639871382636656,-1.0,0.7954983922829582,-1.0,0.2315112540192925,0.0
660230-5,0.9916398713826367,-1.0,0.7813504823151125,-1.0,0.21028938906752415,0.0
660066-1,0.7852090032154341,-1.0,0.9909967845659164,-1.0,0.20578778135048237,0.0
660448-1,0.6893890675241158,-1.0,0.8816720257234727,-1.0,0.19228295819935692,0.0
660112-3,0.8083601286173634,-1.0,0.9961414790996784,-1.0,0.18778135048231503,0.0
660472-1,0.8115755627009646,-1.0,0.985209003215434,-1.0,0.17363344051446938,0.0
660448-2,0.6585209003215434,-1.0,0.8315112540192926,-1.0,0.17299035369774918,0.0
660112-4,0.8064308681672026,-1.0,0.9684887459807074,-1.0,0.1620578778135049,0.0
660425-5,0.9961414790996784,-1.0,0.847588424437299,-1.0,0.14855305466237945,0.0
660042-4,0.992282958199357,-1.0,0.8437299035369775,-1.0,0.14855305466237945,0.0
660225-2,0.7852090032154341,-1.0,0.6379421221864952,-1.0,0.14726688102893892,0.0
660534-4,0.8855305466237942,-1.0,0.7389067524115756,-1.0,0.1466237942122186,0.0
660473-3,0.9440514469453376,-1.0,0.7980707395498392,-1.0,0.1459807073954984,0.0
660523-4,0.997427652733119,-1.0,0.8553054662379421,-1.0,0.14212218649517683,0.0
660619-04,0.7446945337620579,-1.0,0.8790996784565916,-1.0,0.1344051446945338,0.0
660472-4,0.9440514469453376,-1.0,0.8186495176848875,-1.0,0.12540192926045013,0.0
660506-4,0.8405144694533762,-1.0,0.9646302250803859,-1.0,0.12411575562700972,0.0
660521-2,0.9633440514469453,-1.0,0.8418006430868167,-1.0,0.12154340836012867,0.0
660126-5,0.9704180064308682,-1.0,0.8520900321543409,-1.0,0.1183279742765273,0.0
