id,negative_count_prism,positive_count_prism,negative_count_uni,positive_count_uni,negative_diff,positive_diff
660529-6,0.9932975871313673,-1.0,0.38806970509383376,-1.0,0.6052278820375335,0.0
660370-5,0.41890080428954424,-1.0,0.9912868632707775,-1.0,0.5723860589812333,0.0
660370-6,0.44705093833780163,-1.0,0.9450402144772118,-1.0,0.49798927613941013,0.0
660419-6,0.8545576407506702,-1.0,0.39812332439678283,-1.0,0.45643431635388737,0.0
660418-4,0.7841823056300268,-1.0,0.33847184986595175,-1.0,0.44571045576407503,0.0
660032-5,0.935656836461126,-1.0,0.5254691689008043,-1.0,0.41018766756032166,0.0
660103-4,0.43297587131367293,-1.0,0.8123324396782842,-1.0,0.37935656836461124,0.0
660329-2,0.9805630026809652,-1.0,0.6018766756032171,-1.0,0.3786863270777481,0.0
660530-6,0.39745308310991956,-1.0,0.7667560321715817,-1.0,0.36930294906166217,0.0
660428-2,0.9691689008042895,-1.0,0.6018766756032171,-1.0,0.3672922252010724,0.0
660529-5,1.0,-1.0,0.6447721179624665,-1.0,0.3552278820375335,0.0
660549-06,0.48726541554959785,-1.0,0.829088471849866,-1.0,0.34182305630026816,0.0
660152-2,0.8820375335120644,-1.0,0.5408847184986595,-1.0,0.3411528150134049,0.0
660530-5,0.3941018766756032,-1.0,0.732573726541555,-1.0,0.33847184986595175,0.0
660383-2,0.4296246648793566,-1.0,0.7607238605898123,-1.0,0.33109919571045576,0.0
660529-2,0.9691689008042895,-1.0,0.6407506702412868,-1.0,0.3284182305630027,0.0
660465-4,0.7245308310991957,-1.0,0.3967828418230563,-1.0,0.3277479892761394,0.0
660529-1,0.9550938337801609,-1.0,0.6340482573726541,-1.0,0.32104557640750675,0.0
660549-05,0.49932975871313673,-1.0,0.8197050938337802,-1.0,0.3203753351206435,0.0
660122-1,0.8592493297587132,-1.0,0.539544235924933,-1.0,0.3197050938337802,0.0
660192-4,0.6762734584450402,-1.0,0.9872654155495979,-1.0,0.31099195710455774,0.0
