id,rank_of_pos_uni,rank_of_neg_uni,rank_of_pos_gigapath,rank_of_neg_gigapath,rank_of_pos_diff,rank_of_neg_diff
660081-3,0.9810393258426966,-1.0,0.5561797752808989,-1.0,0.4248595505617977,0.0
660186-1,0.8728932584269663,-1.0,0.4691011235955056,-1.0,0.4037921348314607,0.0
660435-3,0.5301966292134831,-1.0,0.9318820224719101,-1.0,0.401685393258427,0.0
660350-5,0.9726123595505618,-1.0,0.5751404494382022,-1.0,0.3974719101123596,0.0
660083-3,0.9262640449438202,-1.0,0.5393258426966292,-1.0,0.386938202247191,0.0
660253-1,0.9157303370786517,-1.0,0.547752808988764,-1.0,0.3679775280898877,0.0
660083-6,0.7577247191011236,-1.0,0.3946629213483146,-1.0,0.363061797752809,0.0
660435-4,0.5660112359550562,-1.0,0.9276685393258427,-1.0,0.3616573033707865,0.0
660420-4,0.5400280898876404,-1.0,0.8960674157303371,-1.0,0.3560393258426967,0.0
660168-5,0.5919943820224719,-1.0,0.9466292134831461,-1.0,0.3546348314606742,0.0
660050-2,0.6193820224719101,-1.0,0.973314606741573,-1.0,0.3539325842696629,0.0
660083-5,0.7254213483146067,-1.0,0.4066011235955056,-1.0,0.3188202247191011,0.0
660528-2,0.824438202247191,-1.0,0.5070224719101124,-1.0,0.3174157303370786,0.0
660350-3,0.9438202247191011,-1.0,0.6495786516853933,-1.0,0.2942415730337078,0.0
660350-2,0.9332865168539326,-1.0,0.6404494382022472,-1.0,0.2928370786516854,0.0
660350-6,0.9796348314606742,-1.0,0.6987359550561798,-1.0,0.2808988764044944,0.0
660242-5,0.8455056179775281,-1.0,0.577247191011236,-1.0,0.2682584269662921,0.0
660628-02,0.41713483146067415,-1.0,0.6818820224719101,-1.0,0.26474719101123595,0.0
660335-6,0.9501404494382022,-1.0,0.6959269662921348,-1.0,0.2542134831460674,0.0
660627-05,0.9073033707865169,-1.0,0.6650280898876404,-1.0,0.2422752808988765,0.0
660135-1,0.6692415730337079,-1.0,0.9115168539325843,-1.0,0.2422752808988764,0.0
660350-1,0.901685393258427,-1.0,0.6643258426966292,-1.0,0.2373595505617978,0.0
660253-2,0.9726123595505618,-1.0,0.7366573033707865,-1.0,0.2359550561797753,0.0
660196-3,0.8792134831460674,-1.0,0.6481741573033708,-1.0,0.2310393258426966,0.0
660335-4,0.8834269662921348,-1.0,0.6544943820224719,-1.0,0.2289325842696629,0.0
660186-2,0.8195224719101124,-1.0,0.5955056179775281,-1.0,0.2240168539325843,0.0
660541-2,0.7422752808988764,-1.0,0.9655898876404494,-1.0,0.223314606741573,0.0
660242-4,0.9080056179775281,-1.0,0.6882022471910112,-1.0,0.2198033707865169,0.0
660045-5,0.711376404494382,-1.0,0.9276685393258427,-1.0,0.2162921348314607,0.0
660083-4,0.9410112359550562,-1.0,0.726123595505618,-1.0,0.2148876404494382,0.0
660256-2,0.8813202247191011,-1.0,0.6685393258426966,-1.0,0.2127808988764045,0.0
660335-3,0.9431179775280899,-1.0,0.735252808988764,-1.0,0.2078651685393259,0.0
660627-06,0.8202247191011236,-1.0,0.6151685393258427,-1.0,0.2050561797752809,0.0
660350-4,0.9452247191011236,-1.0,0.7408707865168539,-1.0,0.2043539325842697,0.0
660567-01,0.6348314606741573,-1.0,0.839185393258427,-1.0,0.2043539325842697,0.0
