,group1,group2,test_stat,p_value
0,"('gigapath', 'GAP', 'MLP')","('gigapath', 'GAP', 'lr')",25.0,0.999999999306965
1,"('gigapath', 'GAP', 'MLP')","('gigapath', 'GAP', 'xgb')",573.0,0.013918133063270943
2,"('gigapath', 'GAP', 'MLP')","('gigapath', 'abmil-1_heads', 'MLP')",6.0,0.999999999990905
3,"('gigapath', 'GAP', 'MLP')","('gigapath', 'abmil-8_heads', 'MLP')",3.0,0.9999999999972715
4,"('gigapath', 'GAP', 'MLP')","('gigapath', 'gabmil-1_heads', 'MLP')",6.0,0.999999999990905
5,"('gigapath', 'GAP', 'MLP')","('gigapath', 'gabmil-8_heads', 'MLP')",14.0,0.9999999999199645
6,"('gigapath', 'GAP', 'MLP')","('gigapath', 'gigapath_cls', 'MLP')",786.0,3.3878677641041577e-09
7,"('gigapath', 'GAP', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",289.0,0.9485546647983938
8,"('gigapath', 'GAP', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",797.0,5.820766091346741e-10
9,"('gigapath', 'GAP', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",605.0,0.0013484603646759946
10,"('gigapath', 'GAP', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",57.0,0.9999972722577428
11,"('gigapath', 'GAP', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",650.0,0.0004456084598132293
12,"('gigapath', 'GAP', 'MLP')","('prism', 'GAP', 'MLP')",145.0,0.9996857119042145
13,"('gigapath', 'GAP', 'MLP')","('prism', 'GAP', 'lr')",49.0,0.9999999776264303
14,"('gigapath', 'GAP', 'MLP')","('prism', 'GAP', 'xgb')",419.0,0.45502298043902556
15,"('gigapath', 'GAP', 'MLP')","('prism', 'PRISM', 'MLP')",0.0,1.0
16,"('gigapath', 'GAP', 'MLP')","('prism', 'PRISM', 'lr')",7.0,0.9999999999872671
17,"('gigapath', 'GAP', 'MLP')","('prism', 'PRISM', 'xgb')",0.0,1.0
18,"('gigapath', 'GAP', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",34.0,0.9999996617290161
19,"('gigapath', 'GAP', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",2.0,0.999999999998181
20,"('gigapath', 'GAP', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",26.0,0.9999998109039573
21,"('gigapath', 'GAP', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",16.0,0.9999999998753992
22,"('gigapath', 'GAP', 'MLP')","('uni', 'GAP', 'MLP')",161.0,0.9997459808973872
23,"('gigapath', 'GAP', 'MLP')","('uni', 'GAP', 'lr')",1.0,0.9999999999990905
24,"('gigapath', 'GAP', 'MLP')","('uni', 'GAP', 'xgb')",280.0,0.9376141985248402
25,"('gigapath', 'GAP', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",6.0,0.999999999990905
26,"('gigapath', 'GAP', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",0.0,1.0
27,"('gigapath', 'GAP', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",0.0,1.0
28,"('gigapath', 'GAP', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",0.0,1.0
29,"('gigapath', 'GAP', 'lr')","('gigapath', 'GAP', 'xgb')",795.0,8.221832104027271e-10
30,"('gigapath', 'GAP', 'lr')","('gigapath', 'abmil-1_heads', 'MLP')",79.0,0.999999418927473
31,"('gigapath', 'GAP', 'lr')","('gigapath', 'abmil-8_heads', 'MLP')",73.0,0.9999951495350595
32,"('gigapath', 'GAP', 'lr')","('gigapath', 'gabmil-1_heads', 'MLP')",78.0,0.9999933149745458
33,"('gigapath', 'GAP', 'lr')","('gigapath', 'gabmil-8_heads', 'MLP')",107.0,0.999993391082171
34,"('gigapath', 'GAP', 'lr')","('gigapath', 'gigapath_cls', 'MLP')",814.0,1.2732925824820995e-11
35,"('gigapath', 'GAP', 'lr')","('gigapath', 'gigapath_cls', 'lr')",651.0,0.0004218312360535492
36,"('gigapath', 'GAP', 'lr')","('gigapath', 'gigapath_cls', 'xgb')",820.0,9.094947017729282e-13
37,"('gigapath', 'GAP', 'lr')","('gigapath', 'gigapath_pool', 'MLP')",795.0,8.221832104027271e-10
38,"('gigapath', 'GAP', 'lr')","('gigapath', 'gigapath_pool', 'lr')",500.0,0.11586866276047658
39,"('gigapath', 'GAP', 'lr')","('gigapath', 'gigapath_pool', 'xgb')",776.0,3.589566486386706e-08
40,"('gigapath', 'GAP', 'lr')","('prism', 'GAP', 'MLP')",575.0,0.004916111896628827
41,"('gigapath', 'GAP', 'lr')","('prism', 'GAP', 'lr')",112.0,0.9999902495856077
42,"('gigapath', 'GAP', 'lr')","('prism', 'GAP', 'xgb')",770.0,2.8616341296583414e-08
43,"('gigapath', 'GAP', 'lr')","('prism', 'PRISM', 'MLP')",11.0,0.9999999999608917
44,"('gigapath', 'GAP', 'lr')","('prism', 'PRISM', 'lr')",25.0,0.9999997286071324
45,"('gigapath', 'GAP', 'lr')","('prism', 'PRISM', 'xgb')",7.0,0.9999999999872671
46,"('gigapath', 'GAP', 'lr')","('prism', 'abmil-1_heads', 'MLP')",109.0,0.9999559736792007
47,"('gigapath', 'GAP', 'lr')","('prism', 'abmil-8_heads', 'MLP')",71.0,0.9999997360737325
48,"('gigapath', 'GAP', 'lr')","('prism', 'gabmil-1_heads', 'MLP')",105.0,0.9999651304919717
49,"('gigapath', 'GAP', 'lr')","('prism', 'gabmil-8_heads', 'MLP')",86.0,0.99999888394359
50,"('gigapath', 'GAP', 'lr')","('uni', 'GAP', 'MLP')",665.0,0.00018954880397359375
51,"('gigapath', 'GAP', 'lr')","('uni', 'GAP', 'lr')",153.0,0.9998416073749468
52,"('gigapath', 'GAP', 'lr')","('uni', 'GAP', 'xgb')",621.0,0.0019337554258527234
53,"('gigapath', 'GAP', 'lr')","('uni', 'abmil-1_heads', 'MLP')",55.0,0.9999999538658813
54,"('gigapath', 'GAP', 'lr')","('uni', 'abmil-8_heads', 'MLP')",56.0,0.9999984263816847
55,"('gigapath', 'GAP', 'lr')","('uni', 'gabmil-1_heads', 'MLP')",51.0,0.9999999713836587
56,"('gigapath', 'GAP', 'lr')","('uni', 'gabmil-8_heads', 'MLP')",35.0,0.9999999966121322
57,"('gigapath', 'GAP', 'xgb')","('gigapath', 'abmil-1_heads', 'MLP')",27.0,0.9999999990277502
58,"('gigapath', 'GAP', 'xgb')","('gigapath', 'abmil-8_heads', 'MLP')",21.0,0.9999998693354559
59,"('gigapath', 'GAP', 'xgb')","('gigapath', 'gabmil-1_heads', 'MLP')",43.0,0.9999999896499503
